,metric,score,algorithm,config_idx,execution_time,signal_idx
82,ses-recall_0.24,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
83,ses-fscore_0.24,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
84,ses-precision_0.25,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
85,ses-recall_0.25,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
86,ses-fscore_0.25,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
87,ses-precision_0.26,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
88,ses-recall_0.26,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
89,ses-fscore_0.26,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
90,ses-precision_0.27,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
91,ses-recall_0.27,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
92,ses-fscore_0.27,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
93,ses-precision_0.28,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
94,ses-recall_0.28,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
95,ses-fscore_0.28,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
96,ses-precision_0.29,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
97,ses-recall_0.29,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
98,ses-fscore_0.29,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
99,ses-precision_0.3,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
100,ses-recall_0.3,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
101,ses-fscore_0.3,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
102,ses-precision_0.31,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
103,ses-recall_0.31,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
104,ses-fscore_0.31,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
105,ses-precision_0.32,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
106,ses-recall_0.32,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
107,ses-fscore_0.32,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
108,ses-precision_0.33,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
109,ses-recall_0.33,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
110,ses-fscore_0.33,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
111,ses-precision_0.34,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
112,ses-recall_0.34,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
113,ses-fscore_0.34,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
114,ses-precision_0.35,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
115,ses-recall_0.35,0.9623477297895903,BasePersistentPattern,0,105.15981888771057,0
116,ses-fscore_0.35,0.9591611479028697,BasePersistentPattern,0,105.15981888771057,0
117,ses-precision_0.36,0.9559955995599559,BasePersistentPattern,0,105.15981888771057,0
